rank	word	english	ipa
1	לא	Not; used in negating verbs, adjectives, and adverbs	/lo/
2	את	To, with	/ʔitʰ/
3	אני	I	/ʔaˈniː/
4	זה	this	/zɛ/
5	אתה	you, thou	/ʔatˈtaː/
6	מה	what	/maː/
7	הוא	he	/huːʔ/
8	על	on, on top of	/al/
9	לי	Indicating the destination of movement	/li/
10	של	Of, belonging to, owned by, pertaining to	/ʃel/
11	כן	yes	/ken/
12	לך	Indicating the destination of movement	/leχ/
13	אבל	but	/aˈval/
14	יש	there is or are; there exist; see usage notes below	/jeʃ/
15	שלי	Form of שֶׁל including first-person singular personal…	/ʃeˈli/
16	כל	All, whole, entirety, everything; found almost exclusively…	/ˈkul/
17	בסדר	all right, okay, O.K	/beseder/
18	עם	With: used to indicate togetherness, being together	/ʕam/
19	היא	she, it	/hiːʔ/
20	שלך	osprey	/ʃɔ.ˈlɔx/
21	אם	if, whether	/ʔim/
22	טוב	well, good	/tˤoːb/
23	היה	to exist	/haːˈjaː/
24	אנחנו	We; the subject form of the first-person plural personal…	/ʔaˈnaħ.nuː/
25	רוצה	To want	/ʁoˈt͡se/
26	אז	So, therefore, then, thus	/ˈʔaz/
27	יודע	to be informed	/juˈda/
28	רק	only	/raq/
29	הם	they	/him(m)/
30	יכול	can, to be able to	/jaˈχol/
31	אותו	The same	/oˈto/
32	אותך	Form of אֵת including second-person masculine singular…	/otˈχa/
33	יותר	more	/joˈteʁ/
34	כאן	Here, at this place	/kan/
35	אותי	Form of אֵת including first-person singular personal…	/oˈti/
36	הזה	this: masculine singular definite of זֶה	/haˈze/
37	למה	why, for what reason	/ˈlɔm.mɔ/
38	להיות	to-infinitive of הָיָה	/liˈhjot/
39	עכשיו	now	/(ʔ)aχˈʃav/
40	או	Or	/ʔoː/
41	אחד	one	/ʔaˈħaːd/
42	משהו	something	/ˈmaʃu/
43	צריך	Needing, in need of	/t͡saˈʁiχ/
44	כמו	like, as	/kmo/
45	אל	to, towards, into	/ʔil/
46	כך	Such, so, thus, in this way, in that way	/kaχ/
47	איך	how	/(ʔ)eχ/
48	אין	There is not, there are not: used in expressing…	/(ʔ)en/
49	נכון	correctly	/naˈχon/
50	לעשות	to-infinitive of עָשָׂה	/laʔaˈsot/
51	תודה	gratitude	/toˈda/
52	לו	if	/luː/
53	לנו	Indicating the destination of movement	/ˈlanu/
54	מי	who, what person or persons	/ˈmi/
55	זאת	feminine singular of זֶה	/ˈzot/
56	שם	there	/ʃim/
57	חושב	to be calculated	/χuˈʃav/
58	כדי	in order: specifies a purpose	/keˈdej/
59	כמה	How much, how many	/ˈka.ma/
60	פשוט	simply	/paˈʃut/
61	יודעת	Feminine singular present participle and present tense of…	/joˈdaʔat/
62	אותה	The same	/oˈtah/
63	אולי	maybe	/uˈlaj/
64	באמת	really, in truth	/beʔeˈmet/
65	כי	because, for, since	/ki/
66	הייתי	to exist	/haˈʔiti/
67	גם	Also, too, additionally; used to connect details in a list	/ɡam/
68	זו	This	/ˈzo/
69	עושה	Masculine singular present participle and present tense of…	/ose/
70	האם	Interrogative particle: starts a yes-or-no question	/haˈʔim/
71	דבר	to speak	/daˈvaʁ/
72	שלו	defective spelling of שליו	/ʃeˈlo/
73	עוד	still, longer, more; no longer, no more, any longer	/ʕawd/
74	כבר	Already: before now, or before then	/kvaʁ/
75	נראה	be seen	/niˈʁa/
76	שלנו	Form of שֶׁל including first-person plural personal pronoun…	/ʃeˈlanu/
77	מאוד	Very, quite	/me.(ʔ)ud/
78	לפני	before, in advance of, prior to	/lifˈne(j)/
79	הרבה	a lot	/(h)aʁˈbe/
80	בבקשה	please	/be.va.kaˈʃa/
81	הולך	Masculine singular present participle and present tense of…	/hoˈleχ/
82	קדימה	eastward	/kaˈdima/
83	אומר	to say, tell	/omeʁ/
84	יהיה	Third-person masculine singular future of הָיָה	/jiˈhje/
85	יכולה	Feminine singular present participle and present tense of…	/jχoˈla/
86	פעם	A time: an instance, an occurrence	/ˈpa.(ʔ)am/
87	זמן	time	/zman/
88	אתם	You, y'all, you guys: the second-person masculine plural…	/ʔatʰˈtʰim(maː)/
89	עדיין	Still, yet	/aˈdajin/
90	עד	Until, till, up until	/(ʔ)ad/
91	ממש	really, very, truly	/maˈmaʃ/
92	אלוהים	a god	/ʔiloːˈhiːm/
93	ובכן	well, then, in that case	/uvˈχen/
94	איפה	where; at what place	/eˈfo/
95	לה	Indicating the destination of movement	/lɑh/
96	קצת	A little, a bit, a little bit	/ˈkt͡sat/
97	מישהו	someone, somebody	/ˈmiʃu/
98	אותם	To, with	/oˈtam/
99	לעזאזל	Damn!, Hell!	/laʔazaˈzel/
100	לראות	to-infinitive of רָאָה	/liˈʁot/
101	הנה	hither, here, over here	/ˈhen.nɔ/
102	הייתה	to exist	/hajəˈta/
103	פה	here, this place, at this place, in this place	/ˈpo/
104	אבא	father	/ˈʔab.bɔː/
105	ללכת	to-infinitive of הָלַךְ	/laˈleχet/
106	צריכה	Needing, in need of	/t͡sʁiχa/
107	בדיוק	exactly, precisely	/be.diˈjuk/
108	אנשים	plural indefinite form of אִישׁ	/anaˈʃim/
109	אף	also, too, additionally	/ʔapʰ/
110	לדבר	To-infinitive of דיבר	/ldaˈbeʁ/
111	חייב	obligated, required, bound, must	/χaˈjav/
112	שוב	again	/ʃuv/
113	חשבתי	First-person singular past of חָשַׁב	/χaˈʃavti/
114	היית	Second-person masculine singular past of הָיָה	/haˈjita/
115	היום	today	/haˈjom/
116	מצטער	Masculine singular present participle and present tense of…	/mit͡staˈʔeʁ/
117	מר	bitter	/maʁ/
118	בוא	bare infinitive of בָּא	/ˈbo/
119	היו	to exist	/haju/
120	שאת	bare infinitive of נָשָׂא	/set/
121	חושבת	Feminine singular present participle and present tense of…	/χoˈʃevet/
122	קרה	To happen, occur, go on	/qaˈra.ja/
123	אחת	feminine of אֶחָד	/ʔaˈħatʰ/
124	שלה	to pull out, to draw out	/ʃaˈla/
125	אמא	mother	/ˈ(ʔ)i.ma/
126	אוהב	Masculine singular present participle and present tense of…	/oˈhev/
127	שום	Some, any; found chiefly in negative contexts, as well as…	/ˈʃum/
128	אחר	after	/aˈt͡ʃaʁ/
129	אפילו	even	/aˈfilu/
130	אדוני	sir, my lord	/ʔa.doːˈniː/
131	תמיד	Always, regularly	/taˈmid/
132	יום	Day: the period between dawn and dusk	/joːm/
133	חבר	A friend	/χaˈveʁ/
134	להם	Form of לְ־ including third-person masculine plural…	/laˈhem/
135	בטוח	Confident, sure, certain	/baˈtu.aχ/
136	בגלל	Because of, due to	/biˈɡlal/
137	שלום	peace	/ʃaːˈloːm/
138	בטח	for sure, definitely	/ˈbetaχ/
139	אחרי	after	/aχ(a)ˈʁe/
140	שהם	defective spelling of שוהם	/ˈʃoham/
141	מדי	each, every	/miˈdei/
142	רואה	To see, to have vision; figuratively, to perceive	/ʁoʔe/
143	כולם	everyone	/kuˈlam/
144	איתך	Form of אֶת including second-person masculine singular…	
145	אמר	to say, tell	/aˈmaʁ/
146	רגע	a moment	/ˈʁeɡa(ʕ)/
147	בן	son	/beːn/
148	איזה	What, which; used in forming questions	/ˈeize/
149	בו	Form of בְּ־ including third-person masculine singular…	/bo/
150	אדם	man, human	/ʔaˈdaːm/
151	דברים	plural indefinite form of דָּבָר	/dvaˈʁim/
152	מבין	Masculine singular present participle and present tense of…	/meˈvin/
153	טובה	good, fair, fine	/tova/
154	בשביל	For, for the sake of, for the benefit of, in order for	/biʃˈvil/
155	בזה	To degrade, to despise, to abuse: defective spelling of ביזה	/biˈza/
156	דרך	Through, via, by way of	/daˈʁaχ/
157	לעזור	to-infinitive of עָזַר	/laʔaˈzoʁ/
158	אותנו	To, with	/oˈtanu/
159	מספיק	Enough, sufficiently	/masˈpik/
160	תהיה	Second-person masculine singular future of הָיָה	/tiˈhje/
161	הכי	Most, the most	/(h)aˈχi/
162	הדבר	singular definite form of דָּבָר	/hadaˈvaʁ/
163	תן	to give	/ten/
164	ב	initialism of בֵּינַיִם, used to indicate that a term…	/b/
165	לדעת	to-infinitive of ידע	/laˈdaʔat/
166	כלום	anything	/klum/
167	מקום	place	/maˈkom/
168	כזה	Used other than figuratively or idiomatically: see כ־, זה	/kaˈze/
169	לקחת	to-infinitive of לָקַח	/lakaχat/
170	מזה	from this	/miˈze/
171	לכם	Indicating the destination of movement	/laˈχem/
172	ככה	thus	/ˈkaχa/
173	ביותר	Most	/bjoˈteʁ/
174	אוכל	can, to be able to	/ʔukʰl/
175	איתי	Form of אֶת including first-person singular personal…	/iˈti/
176	אפשר	perhaps, maybe	/efˈʃaʁ/
177	ר	abbreviation of רַבִּים: pl	/ʁ/
178	ל	The third letter of a verb root; so called because it's the…	/ˈlamed/
179	כאילו	as if, as though	/ˈki.lu/
180	קשה	hard	/kaˈʃe/
181	לכאן	Hither, here, over here	/leˈkan/
182	הביתה	Home, homeward, to one's home	/haˈbajta/
183	עליי	Form of עַל including first-person singular personal…	/aˈlaj/
184	שנים	defective spelling of שניים: two	/ˈʃnajim/
185	מת	To die	/ˈmeːθ/
186	די	enough, sufficient, adequate	/ˈdai/
187	למצוא	to-infinitive of מָצָא	/limˈt͡so/
188	גדול	big, large	/ɡaˈdol/
189	היתה	Third-person feminine singular past of הָיָה	/haiˈta/
190	שני	second	/ʃeˈni/
191	בלי	without	/ˈbli/
192	אנו	we	/ˈʔa.nuː/
193	אלה	this	/ˈe.le/
194	יפה	beautifully, nicely	/jaˈfe/
