rank	word	english	ipa
1	que	that	/ki/
2	a	her, it	/a/
3	o	the	/u/
4	não	not; don't; haven't	/ˈnɐ̃w̃/
5	de	of	/d͡ʒi/
6	é	to be	/ˈɛ/
7	e	and	/i/
8	um	a, an	/ˈũ/
9	para	for	/pa.ɾɐ/
10	eu	I	/ˈew/
11	uma	one	/ˈũ.ɐ/
12	está	to be	/isˈta/
13	com	with; against	/kõ/
14	se	third-person singular and plural reflexive pronoun;…	/si/
15	do	contraction of de + o, literally “of the, from the, -'s ”	/du/
16	por	for	/puʁ/
17	os	third-person plural direct objective personal pronoun; them	/us/
18	ele	third-person masculine singular nominative personal…	/ˈe.li/
19	mas	but	/mas/
20	em	in; inside; within	/ẽj̃/
21	bem	well; accurately; competently	/ˈbẽj̃/
22	isso	that	/ˈi.su/
23	da	contraction of de + a, literally “of/from the ”: feminine…	/da/
24	como	how	/ˈkõ.mu/
25	sim	indeed; do	/ˈsĩ/
26	as	them	/as/
27	no	contraction of em + o, literally “in the, on the”	/nu/
28	mais	preceded by the definitive article, used to form the…	/ˈmajs/
29	na	contraction of em + a, literally “in the”: feminine…	/na/
30	meu	my	/mew/
31	aqui	here	/aˈki/
32	me	first-person singular objective direct personal pronoun; me	/mi/
33	muito	much; many; a lot of; lots of	/ˈmũj̃.tu/
34	foi	to go	/ˈfoj/
35	ela	third-person feminine singular nominative pronoun she; it	/ˈɛ.lɐ/
36	isto	this	/ˈis.tu/
37	estou	to be	/isˈto(w)/
38	fazer	to create; to produce	/faˈze(ʁ)/
39	vamos	to go	/ˈvɐ̃.mus/
40	já	already	/ˈʒa/
41	ser	to be, especially a quality that is intrinsic or not…	/ˈse(ʁ)/
42	vai	to go	/ˈvaj/
43	à	contraction of a + a f sg: feminine singular of ao	/a/
44	minha	my	/ˈmĩ.ɲɐ/
45	só	only; just	/ˈsɔ/
46	ao	contraction of a + o m sg	/aw/
47	tem	to own; to possess; to have; to have got	/ˈtẽj̃/
48	tudo	everything	/ˈtu.du/
49	te	you	/t͡ʃi/
